english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
hero,ヒーロー,名,,Unit 1,扉,7,,JHS,2,Blue Sky English Course 2
character,キャラクター，登場人物,名,,Unit 1,Part 1,8,important,JHS,2,Blue Sky English Course 2
round,丸い,形,,Unit 1,Part 1,8,,JHS,2,Blue Sky English Course 2
Anpanman,アンパンマン[絵本・アニメの主人公],名,,Unit 1,Part 1,8,,JHS,2,Blue Sky English Course 2
bookcase,本棚,名,,Unit 1,Part 1,8,,JHS,2,Blue Sky English Course 2
poster,ポスター,名,,Unit 1,Part 1,8,important,JHS,2,Blue Sky English Course 2
plant,植物,名,,Unit 1,Part 1,9,,JHS,2,Blue Sky English Course 2
rug,(小型の)敷物，ラグ,名,,Unit 1,Part 1,9,,JHS,2,Blue Sky English Course 2
unique,ユニークな，独自の,形,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
hungry,おなかのすいた,形,,Unit 1,Part 2,10,important,JHS,2,Blue Sky English Course 2
give,～を与える,動,,Unit 1,Part 2,10,important,JHS,2,Blue Sky English Course 2
gives,[主語が3人称・単数で現在のときのgiveの形],動,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
part,部分,名,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
a part of ～  ,～の一部,連,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
purple,紫の,形,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
troublemaker,トラブルメーカー,名,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
rival,ライバル,名,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
sad,悲しい,形,,Unit 1,Part 2,10,important,JHS,2,Blue Sky English Course 2
angry,怒った,,,Unit 1,Part 2,10,important,JHS,2,Blue Sky English Course 2
cry,泣く,動,,Unit 1,Part 2,10,,JHS,2,Blue Sky English Course 2
news,ニュース，知らせ,名,,Unit 1,Part 2,10,important,JHS,2,Blue Sky English Course 2
quiet,静かな，黙った,形,,Unit 1,Part 2,10,important,JHS,2,Blue Sky English Course 2
catch,(病気)にかかる,動,,Unit 1,Part 2,11,important,JHS,2,Blue Sky English Course 2
