english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
Japan,日本,国,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
Japanese,日本語，国語，日本の,学校生活,"I have Japanese, math, science, and music.  (p.22)",Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
Japanese tea,日本茶,飲食物,,Lesson 8,,60,es_word,ES,5,Junior Sunshine 5
jean(s),ジーンズ,日常生活,I like jeans very much.  (p.74),Lesson 9,,74,es_word,ES,5,Junior Sunshine 5
Jim,ジム（男子の名）,その他,Jim Young  (p.7),Lesson 1,,7,es_word,ES,5,Junior Sunshine 5
juice,ジュース,飲食物,I want orange juice.  (p.5),Spring Festival,,5,es_word,ES,5,Junior Sunshine 5
July,7月,季節・月・曜日・時間,My birthday is July 4th.  (p.16),Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
jump,とぶ,動作,,Lesson 4,,26,es_word,ES,5,Junior Sunshine 5
jump rope,なわとびをする,動作,I can jump rope.  (p.29),Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
June,6月,季節・月・曜日・時間,My birthday is June 1st.  (p.36),Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
junior high school,中学校,町・施設・職業,Is she a junior high school student?  (p.52),Lesson 6,,52,es_word,ES,5,Junior Sunshine 5
key,かぎ,日常生活,,Lesson 9,,105,es_word,ES,5,Junior Sunshine 5
kick,ける,動作,He can kick.  (p.48),Lesson 6,,48,es_word,ES,5,Junior Sunshine 5
Korea,韓国・朝鮮,国,,Lesson 7,,58,es_word,ES,5,Junior Sunshine 5
ladder,はしご,日常生活,Snakes and Ladders  (p.104),Lesson 9,,104,es_word,ES,5,Junior Sunshine 5
lake,湖,自然・天気,This is Lake Hamana.  (p.72),Lesson 9,,70,es_word,ES,5,Junior Sunshine 5
left,左へ，左に,その他,You can see it on your left.  (p.40),Project 1,,35,es_word,ES,5,Junior Sunshine 5
lemon,レモン,飲食物,,Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
let's ～,～しよう,その他,Let's try again.  (p.47),Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
library,図書館,町・施設・職業,,Lesson 5,,38,es_word,ES,5,Junior Sunshine 5
light,軽い,状態・気持ち,,Lesson 9,,71,es_word,ES,5,Junior Sunshine 5
like,好きである,動作,What do you like?  (p.4),Spring Festival,,4,es_word,ES,5,Junior Sunshine 5
lion,ライオン,動植物,,Lesson 3,,86,es_word,ES,5,Junior Sunshine 5
Lisa,リサ（女子の名）,その他,My sister Lisa.  (p.52),Lesson 6,,52,es_word,ES,5,Junior Sunshine 5
lobster,イセエビ,飲食物,,Lesson 9,,69,es_word,ES,5,Junior Sunshine 5
London,ロンドン （イギリスの都市）,その他,,Lesson 6,,97,es_word,ES,5,Junior Sunshine 5
long,長い,状態・気持ち,,Lesson 9,,71,es_word,ES,5,Junior Sunshine 5
look,見る,動作,Look at this picture.  (p.50),Lesson 6,,50,es_word,ES,5,Junior Sunshine 5
love,大好きである,動作,I love my town.  (p.68),Lesson 9,,68,es_word,ES,5,Junior Sunshine 5
lucky,幸運な,状態・気持ち,,Project 1,,35,es_word,ES,5,Junior Sunshine 5
mailbox,郵便ポスト,町・施設・職業,It's on the mailbox.  (p.45),Lesson 5,,45,es_word,ES,5,Junior Sunshine 5
mango,マンゴー,飲食物,,Lesson 9,,68,es_word,ES,5,Junior Sunshine 5
many,たくさんの,状態・気持ち,It’s famous for many small islands.  (p.74),Lesson 9,,74,es_word,ES,5,Junior Sunshine 5
map,地図,日常生活,,Lesson 5,,94,es_word,ES,5,Junior Sunshine 5
March,3月,季節・月・曜日・時間,,Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
mat,マット,日常生活,,Lesson 5,,94,es_word,ES,5,Junior Sunshine 5
math,算数,学校生活,"I have Japanese, math, science, and music.  (p.22)",Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
May,5月,季節・月・曜日・時間,,Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
meet,会う,動作,Nice to meet you.  (p.6),Lesson 1,,6,es_word,ES,5,Junior Sunshine 5
melon,メロン,飲食物,,Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
menu,メニュー,町・施設・職業,,Lesson 8,,63,es_word,ES,5,Junior Sunshine 5
milk,牛乳,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
mineral water,ミネラルウォーター,飲食物,,Lesson 8,,60,es_word,ES,5,Junior Sunshine 5
Monday,月曜日,季節・月・曜日・時間,What do you have on Mondays?  (p.18),Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
monkey,サル,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
month,月,季節・月・曜日・時間,Twelve Months  (p.13),Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
moral education,道徳,学校生活,,Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
Mr.,～さん（男性に対する敬称）,その他,"Miki, this is Mr. Kawamura Ryo.  (p.48)",Lesson 6,,48,es_word,ES,5,Junior Sunshine 5
Ms.,～さん（女性に対する敬称）,その他,Ms. Brown  (p.16),Lesson 2,,16,es_word,ES,5,Junior Sunshine 5
Mt.,～山,その他,Mt. Iwate  (p.70),Lesson 9,,70,es_word,ES,5,Junior Sunshine 5
much,とても，たくさん,状態・気持ち,I like my sister very much.  (p.53),Lesson 6,,53,es_word,ES,5,Junior Sunshine 5
music,音楽,学校生活,I like music.  (p.20),Lesson 3,,19,es_word,ES,5,Junior Sunshine 5
my,わたしの,人と身体,My birthday is July 4th.  (p.16),Lesson 2,,16,es_word,ES,5,Junior Sunshine 5
name,名前,その他,,Lesson 8,,67,es_word,ES,5,Junior Sunshine 5
net,あみ,日常生活,,Lesson 9,,105,es_word,ES,5,Junior Sunshine 5
new,新しい,状態・気持ち,Happy New Year  (p.56),Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
nice,よい,状態・気持ち,Nice to meet you.  (p.6),Lesson 1,,6,es_word,ES,5,Junior Sunshine 5
nine,9,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
nineteen,19,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
nineteenth,19番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
ninth,9番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
no,いいえ,その他," No, I can’t.  (p.79)",Project 2,,79,es_word,ES,5,Junior Sunshine 5
November,11月,季節・月・曜日・時間,,Lesson 2,,12,es_word,ES,5,Junior Sunshine 5
October,10月,季節・月・曜日・時間,,Lesson 2,,12,es_word,ES,5,Junior Sunshine 5
octopus,タコ,動植物,,Lesson 3,,86,es_word,ES,5,Junior Sunshine 5
old,～歳の，古い,状態・気持ち,She is 13 years old.  (p.52),Lesson 6,,52,es_word,ES,5,Junior Sunshine 5
on,～（の上）に,その他,What do you have on Mondays?  (p.18),Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
one,1,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
orange,オレンジ，オレンジ色,色・形,I like orange.  (p.5),Spring Festival,,5,es_word,ES,5,Junior Sunshine 5
ox,おす牛,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
P.E.,体育,学校生活,,Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
park,公園,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
peach,モモ,飲食物,Is it a peach?  (p.47),Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
peanut,ピーナッツ,飲食物,,Lesson 9,,69,es_word,ES,5,Junior Sunshine 5
pear,ナシ,飲食物,,Lesson 9,,68,es_word,ES,5,Junior Sunshine 5
pen,ペン,学校生活,,Lesson 5,,41,es_word,ES,5,Junior Sunshine 5
pencil,えんぴつ,学校生活,,Lesson 5,,41,es_word,ES,5,Junior Sunshine 5
performer,曲芸師,町・施設・職業,,Lesson 6,,51,es_word,ES,5,Junior Sunshine 5
period for integrated study,総合的な学習の時間,学校生活,,Lesson 3,,19,es_word,ES,5,Junior Sunshine 5
pet shop,ペットショップ,町・施設・職業,,Lesson 5,,38,es_word,ES,5,Junior Sunshine 5
piano,ピアノ,日常生活,I can play the piano.  (p.29),Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
picture,写真,日常生活,Look at this picture.  (p.50),Lesson 6,,50,es_word,ES,5,Junior Sunshine 5
pig,ブタ,動植物,,Lesson 3,,86,es_word,ES,5,Junior Sunshine 5
pineapple,パイナップル,飲食物,,Lesson 9,,69,es_word,ES,5,Junior Sunshine 5
pizza,ピザ,飲食物,I'd like pizza.  (p.66),Lesson 8,,60,es_word,ES,5,Junior Sunshine 5
play,（楽器を）ひく，（運動を）する,動作,I can play the piano.  (p.29),Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
player,選手,町・施設・職業,He is a soccer player.  (p.48),Lesson 3,,22,es_word,ES,5,Junior Sunshine 5
please,どうか，どうぞ,その他,"Hint, please.  (p.34)",Project 1,,34,es_word,ES,5,Junior Sunshine 5
police officer,警察官,町・施設・職業,,Lesson 3,,22,es_word,ES,5,Junior Sunshine 5
police station,警察署,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
post office,郵便局,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
purple,むらさき色,色・形,,Lesson 5,,41,es_word,ES,5,Junior Sunshine 5
queen,女王,町・施設・職業,,Lesson 3,,14,es_word,ES,5,Junior Sunshine 5
rabbit,ウサギ,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
rainy,雨の,自然・天気,,Lesson 4,,30,es_word,ES,5,Junior Sunshine 5
rat,ネズミ,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
read,読む,動作,,Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
really,ほんとうに,その他,Really?  (p.48),Lesson 6,,48,es_word,ES,5,Junior Sunshine 5
recorder,リコーダー,日常生活,play the recorder  (p.27),Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
red,赤色,色・形,,Lesson 5,,41,es_word,ES,5,Junior Sunshine 5
restaurant,レストラン,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
rice,ごはん，米,飲食物,,Lesson 8,,60,es_word,ES,5,Junior Sunshine 5
right,右へ，右に，正しい,その他,turn right  (p.39),Project 1,,35,es_word,ES,5,Junior Sunshine 5
river,川,自然・天気,Kitakami River  (p.70)　,Lesson 9,,70,es_word,ES,5,Junior Sunshine 5
rooster,おんどり,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
ruler,定規,学校生活,,Lesson 5,,42,es_word,ES,5,Junior Sunshine 5
run,走る,動作,He can run fast.  (p.48),Lesson 4,,26,es_word,ES,5,Junior Sunshine 5
Russia,ロシア,国,,Lesson 7,,58,es_word,ES,5,Junior Sunshine 5
sad,悲しい,状態・気持ち,,Lesson 6,,50,es_word,ES,5,Junior Sunshine 5
salad,サラダ,飲食物,,Lesson 8,,60,es_word,ES,5,Junior Sunshine 5
salt,塩,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
salty,しょっぱい,状態・気持ち,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
sandwich,サンドウィッチ,飲食物,,Lesson 8,,60,es_word,ES,5,Junior Sunshine 5
Saturday,土曜日,季節・月・曜日・時間,It’s Saturday.  (p.4),Spring Festival,,4,es_word,ES,5,Junior Sunshine 5
school,学校,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
science,理科,学校生活,"I have Japanese, math, science, and music.  (p.22)",Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
sea,海,自然・天気,,Lesson 3,,14,es_word,ES,5,Junior Sunshine 5
season,季節,季節・月・曜日・時間,What season do you like?  (p.15),Lesson 2,,15,es_word,ES,5,Junior Sunshine 5
second,2番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
see,見る,動作,You can see it on your left.  (p.40),Lesson 5,,40,es_word,ES,5,Junior Sunshine 5
September,9月,季節・月・曜日・時間,,Lesson 2,,12,es_word,ES,5,Junior Sunshine 5
seven,7,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
seventeen,17,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
seventeenth,17番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
seventh,7番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
seventy,70,数,,Lesson 9,,70,es_word,ES,5,Junior Sunshine 5
she,彼女は,人と身体,She can swim.  (p.51),Lesson 6,,48,es_word,ES,5,Junior Sunshine 5
sheep,ヒツジ,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
short,短い,状態・気持ち,,Lesson 9,,71,es_word,ES,5,Junior Sunshine 5
sing,歌う,動作,,Lesson 4,,26,es_word,ES,5,Junior Sunshine 5
sister,姉，妹,人と身体,My sister Lisa.  (p.52),Lesson 6,,52,es_word,ES,5,Junior Sunshine 5
six,6,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
sixteen,16,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
sixteenth,16番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
sixth,6番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
slow,おそい,状態・気持ち,,Lesson 9,,71,es_word,ES,5,Junior Sunshine 5
small,小さい,状態・気持ち,It’s famous for many small islands.  (p.74),Lesson 9,,71,es_word,ES,5,Junior Sunshine 5
snake,ヘビ,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
snowy,雪の,自然・天気,,Lesson 4,,30,es_word,ES,5,Junior Sunshine 5
soccer,サッカー,スポーツ,He is a soccer player.  (p.48),Lesson 3,,22,es_word,ES,5,Junior Sunshine 5
social studies,社会科,学校生活,,Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
soda,ソーダ,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
soft,やわらかい,状態・気持ち,,Lesson 9,,71,es_word,ES,5,Junior Sunshine 5
song,歌,その他,,Lesson 1,,6,es_word,ES,5,Junior Sunshine 5
soup,スープ,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
sour,すっぱい,状態・気持ち,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
spaghetti,スパゲッティ,飲食物,I’d like spaghetti.  (p.62),Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
Spain,スペイン,国,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
special,特別な,状態・気持ち,special class  (p.23),Lesson 3,,23,es_word,ES,5,Junior Sunshine 5
sports shop,スポーツ用品店,町・施設・職業,,Lesson 5,,38,es_word,ES,5,Junior Sunshine 5
spring,春,季節・月・曜日・時間,I like spring.  (p.15),Spring Festival,,4,es_word,ES,5,Junior Sunshine 5
start,スタート,その他,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
station,駅,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
steak,ステーキ,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
step,一歩,その他,Twenty Steps  (p.35),Project 1,,35,es_word,ES,5,Junior Sunshine 5
stop,止まる,動作,,Project 1,,35,es_word,ES,5,Junior Sunshine 5
straight,まっすぐに,その他,go straight   (p.39),Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
strong,強い,状態・気持ち,It’s big and strong.  (p.74),Lesson 9,,74,es_word,ES,5,Junior Sunshine 5
student,生徒,町・施設・職業,,Lesson 6,,52,es_word,ES,5,Junior Sunshine 5
subject,教科,学校生活,What subject do you like?  (p.20),Lesson 3,,20,es_word,ES,5,Junior Sunshine 5
sugar,砂糖,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
summer,夏,季節・月・曜日・時間,I like summer.  (p.15),Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
sun,太陽,自然・天気,,Lesson 5,,94,es_word,ES,5,Junior Sunshine 5
Sunday,日曜日,季節・月・曜日・時間,,Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
sunny,晴れの,自然・天気,,Lesson 4,,30,es_word,ES,5,Junior Sunshine 5
supermarket,スーパー（マーケット）,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
sweet,あまい,状態・気持ち,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
sweet potato,サツマイモ,飲食物,,Lesson 9,,68,es_word,ES,5,Junior Sunshine 5
swim,泳ぐ,動作,I can swim.  (p.29),Lesson 4,,26,es_word,ES,5,Junior Sunshine 5
table,テーブル,日常生活,It's on the table.  (p.45),Lesson 5,,42,es_word,ES,5,Junior Sunshine 5
table tennis,卓球,スポーツ,She is a table tennis player.  (p.54),Lesson 6,,54,es_word,ES,5,Junior Sunshine 5
tap,軽くたたく,動作,,Lesson 5,,94,es_word,ES,5,Junior Sunshine 5
tea,紅茶,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
teacher,先生,町・施設・職業,,Lesson 3,,22,es_word,ES,5,Junior Sunshine 5
ten,10,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
tenth,10番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
thank,感謝する,動作,Thank you.  (p.66),Lesson 8,,66,es_word,ES,5,Junior Sunshine 5
that,それ（は），あの,その他,What’s that?  (p.50),Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
that's,= that  is,その他,That's right.  (p.47),Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
the,その,その他,I can play the piano.  (p.29),Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
third,3番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
thirteen,13,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
thirteenth,13番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
thirtieth,30番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
thirty,30,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
this,これ（は）,その他,What’s this?  (p.5),Spring Festival,,5,es_word,ES,5,Junior Sunshine 5
thousand,1000,数,three thousand  (p.70),Lesson 9,,70,es_word,ES,5,Junior Sunshine 5
three,3,数,three thousand  (p.70),Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
Thursday,木曜日,季節・月・曜日・時間,,Lesson 3,,19,es_word,ES,5,Junior Sunshine 5
tiger,トラ,動植物,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
time,時刻,その他,What time is it?  (p.4),Spring Festival,,4,es_word,ES,5,Junior Sunshine 5
to,～して,その他,Nice to meet you.  (p.6),Lesson 1,,6,es_word,ES,5,Junior Sunshine 5
toast,トースト,飲食物,,Lesson 8,,103,es_word,ES,5,Junior Sunshine 5
today,今日（は）,その他,What day is it today?  (p.4),Spring Festival,,4,es_word,ES,5,Junior Sunshine 5
tomato,トマト,飲食物,,Lesson 8,,102,es_word,ES,5,Junior Sunshine 5
top,頂 上,その他,,Lesson 5,,94,es_word,ES,5,Junior Sunshine 5
town,町,町・施設・職業,I love my town.  (p.68),Lesson 9,,68,es_word,ES,5,Junior Sunshine 5
train,列車,町・施設・職業,,Lesson 8,,103,es_word,ES,5,Junior Sunshine 5
treasure,宝物,その他,Where is your treasure?  (p.38),Lesson 5,,38,es_word,ES,5,Junior Sunshine 5
tree,木,動植物,It's under the tree.  (p.45),Lesson 5,,45,es_word,ES,5,Junior Sunshine 5
try,やってみる,動作,Let's try again.  (p.47),Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
Tuesday,火曜日,季節・月・曜日・時間,What do you have on Tuesdays?  (p.22),Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
turn,曲がる,動作,turn left  (p.39),Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
twelfth,12番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
twelve,12,数,Twelve Months  (p.13),Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
twentieth,20番目（の）,数,,Lesson 2,,14,es_word,ES,5,Junior Sunshine 5
twenty,20,数,Twenty Steps  (p.35),Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
two,2,数,,Lesson 1,,9,es_word,ES,5,Junior Sunshine 5
umbrella,かさ,日常生活,,Lesson 9,,105,es_word,ES,5,Junior Sunshine 5
under,～の下に,その他,It's under the tree.  (p.45),Lesson 5,,42,es_word,ES,5,Junior Sunshine 5
the U.S.A.,アメリカ合衆国,国,,Lesson 7,,56,es_word,ES,5,Junior Sunshine 5
van,小型トラック,町・施設・職業,,Lesson 3,,14,es_word,ES,5,Junior Sunshine 5
very,たいへん,その他,She can dance very well.  (p.53),Lesson 6,,53,es_word,ES,5,Junior Sunshine 5
vinegar,酢,飲食物,,Lesson 8,,61,es_word,ES,5,Junior Sunshine 5
