english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
good,よい,形,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
morning,朝,名,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
Good morning.,おはよう。,連,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
everyone,みんな，みなさん,代,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
I,私は[が],代,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
am,～です，～である [主語がIのとき],動,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
I’m,[I amの短縮形],,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
from,～から(の) [出身],前,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
New Zealand,ニュージーランド,名,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
at,[be good at ～で] ～が得意である,前,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
be good at ～,～が得意である,連,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
sing,歌う,動,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
singing,[singのing形],動,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
USA,アメリカ(合衆国) [=United States of America],名,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
UK,イギリス [＝United Kingdom],名,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
dance,ダンスをする，踊る,動,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
dancing,[danceのing形],動,,Unit 1,Part 1-(英語で話そう),22,,JHS,1,Blue Sky English Course 1
hi,やあ，こんにちは,間,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
the,[すでにわかっているもの，固有名詞などの前につく],冠,,Unit 1,Part 1-(英語で話そう),22,important,JHS,1,Blue Sky English Course 1
Japan,日本,名,,Unit 1,Part 1-(英語で話そう),23,important,JHS,1,Blue Sky English Course 1
Bruno,ブルーノ [人の名],名,,Unit 1,Part 1-(英語で話そう),23,,JHS,1,Blue Sky English Course 1
Ming,ミン [人の名],名,,Unit 1,Part 1-(英語で話そう),23,,JHS,1,Blue Sky English Course 1
Brazil,ブラジル,名,,Unit 1,Part 1-(英語で話そう),23,,JHS,1,Blue Sky English Course 1
China,中国,名,,Unit 1,Part 1-(英語で話そう),23,,JHS,1,Blue Sky English Course 1
swim,泳ぐ,動,,Unit 1,Part 1-(英語で話そう),23,important,JHS,1,Blue Sky English Course 1
swimming,[swimのing形],動,,Unit 1,Part 1-(英語で話そう),23,,JHS,1,Blue Sky English Course 1
elementary school,小学校,名,,Unit 1,Part 1-(英語で話そう),23,,JHS,1,Blue Sky English Course 1
are,"～です，～である [主語がyou, we, they, 複数名詞のとき]",動,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
you,あなた(たち)は,名,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
a,1つの，1人の,冠,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
rugby,ラグビー,名,,Unit 1,Part 2-(英語で話そう),24,,JHS,1,Blue Sky English Course 1
fan,ファン,名,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
no,いいえ,副,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
not,～ではない,副,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
oh,おや，あら,間,,Unit 1,Part 2-(英語で話そう),24,,JHS,1,Blue Sky English Course 1
you’re,[you areの短縮形],,,Unit 1,Part 2-(英語で話そう),24,,JHS,1,Blue Sky English Course 1
player,選手,名,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
yes,はい,副,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
member,メンバー，一員,名,,Unit 1,Part 2-(英語で話そう),24,,JHS,1,Blue Sky English Course 1
of,～の [所属],前,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
a member of ～,～の一員,連,,Unit 1,Part 2-(英語で話そう),24,,JHS,1,Blue Sky English Course 1
volleyball,バレーボール,名,,Unit 1,Part 2-(英語で話そう),24,important,JHS,1,Blue Sky English Course 1
kendo,剣道,名,,Unit 1,Part 2-(英語で話そう),25,,JHS,1,Blue Sky English Course 1
badminton,バドミントン,名,,Unit 1,Part 2-(英語で話そう),25,,JHS,1,Blue Sky English Course 1
manga,マンガ,名,,Unit 1,Part 2-(英語で話そう),25,,JHS,1,Blue Sky English Course 1
movie,映画,名,,Unit 1,Part 2-(英語で話そう),25,important,JHS,1,Blue Sky English Course 1
is,～です，～である [主語が3人称・単数のとき],動,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
this,これ,代,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
lollipop,ロリポップ，棒つきキャンディー,名,,Unit 2,Part 1-(学校で),28,,JHS,1,Blue Sky English Course 1
it,それは[が],代,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
isn’t,[is notの短縮形],,,Unit 2,Part 1-(学校で),28,,JHS,1,Blue Sky English Course 1
it’s,[it isの短縮形],,,Unit 2,Part 1-(学校で),28,,JHS,1,Blue Sky English Course 1
pen,ペン,名,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
wow,うわー,間,,Unit 2,Part 1-(学校で),28,,JHS,1,Blue Sky English Course 1
cute,かわいい,形,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
that,あれ,代,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
banana,バナナ,名,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
pencil,えんぴつ,名,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
case,ケース，入れ物,名,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
that’s,[that isの短縮形],,,Unit 2,Part 1-(学校で),28,,JHS,1,Blue Sky English Course 1
cool,すばらしい，かっこいい,形,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
glasses,めがね,名,,Unit 2,Part 1-(学校で),28,important,JHS,1,Blue Sky English Course 1
book,本,名,,Unit 2,Part 1-(学校で),29,important,JHS,1,Blue Sky English Course 1
notebook,ノート,名,,Unit 2,Part 1-(学校で),29,important,JHS,1,Blue Sky English Course 1
cabbage,キャベツ,名,,Unit 2,Part 1-(学校で),29,,JHS,1,Blue Sky English Course 1
lettuce,レタス,名,,Unit 2,Part 1-(学校で),29,,JHS,1,Blue Sky English Course 1
wild boar,イノシシ,名,,Unit 2,Part 1-(学校で),29,,JHS,1,Blue Sky English Course 1
in,～(の中)で,前,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
classroom,教室,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
what,何,代,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
what’s,[what isの短縮形],,,Unit 2,Part 2-(学校で),30,,JHS,1,Blue Sky English Course 1
cleaner,掃除機，クリーナー,名,,Unit 2,Part 2-(学校で),30,,JHS,1,Blue Sky English Course 1
for,～のための，～用の,前,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
blackboard,黒板,名,,Unit 2,Part 2-(学校で),30,,JHS,1,Blue Sky English Course 1
eraser,消す道具，消しゴム,名,,Unit 2,Part 2-(学校で),30,,JHS,1,Blue Sky English Course 1
really,本当に,副,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
teacher,先生,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
room,部屋,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
teachers’ room,職員室,名,,Unit 2,Part 2-(学校で),30,,JHS,1,Blue Sky English Course 1
tool,道具,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
self-defense,自己防衛,名,,Unit 2,Part 2-(学校で),30,,JHS,1,Blue Sky English Course 1
lunch,昼食,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
box,箱,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
chocolate,チョコレート,名,,Unit 2,Part 2-(学校で),30,important,JHS,1,Blue Sky English Course 1
tofu,豆腐,名,,Unit 2,Part 2-(学校で),31,,JHS,1,Blue Sky English Course 1
wasabi,わさび,名,,Unit 2,Part 2-(学校で),31,,JHS,1,Blue Sky English Course 1
Tokyo Skytree,東京スカイツリー,名,,Unit 2,Part 2-(学校で),31,,JHS,1,Blue Sky English Course 1
Tokyo Dome,東京ドーム,名,,Unit 2,Part 2-(学校で),31,,JHS,1,Blue Sky English Course 1
an,[母音で始まる語の前に置くときのaの形],冠,,Unit 2,Part 2-(学校で),31,important,JHS,1,Blue Sky English Course 1
animal,動物,名,,Unit 2,Part 2-(学校で),31,important,JHS,1,Blue Sky English Course 1
black,黒い,形,,Unit 2,Part 2-(学校で),31,important,JHS,1,Blue Sky English Course 1
and,～と…,接,,Unit 2,Part 2-(学校で),31,important,JHS,1,Blue Sky English Course 1
white,白い,形,,Unit 2,Part 2-(学校で),31,important,JHS,1,Blue Sky English Course 1
he,彼は[が],代,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
he’s,[he isの短縮形],,,Unit 2,Part 3-(学校で),32,,JHS,1,Blue Sky English Course 1
my,私の,代,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
cousin,いとこ,名,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
she,彼女は[が],代,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
she’s,[she isの短縮形],,,Unit 2,Part 3-(学校で),32,,JHS,1,Blue Sky English Course 1
friend,友だち,名,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
nice,すばらしい，うれしい,形,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
to,～して,前,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
meet,～に会う,動,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
Nice to meet you.,はじめまして。,連,,Unit 2,Part 3-(学校で),32,,JHS,1,Blue Sky English Course 1
too,(～も)また,副,,Unit 2,Part 3-(学校で),32,important,JHS,1,Blue Sky English Course 1
